Date,Open,High,Low,Close
2016-01-04,0.5705,0.591,0.5572,0.5666
2016-01-05,0.5943,0.5943,0.5382,0.5407
2016-01-06,0.5413,0.5413,0.4924,0.5031
2016-01-07,0.4956,0.557,0.4749,0.54
2016-01-08,0.5309,0.5557,0.5,0.5141
2016-01-11,0.5268,0.5509,0.517,0.5422
2016-01-12,0.5494,0.5834,0.5277,0.534
2016-01-13,0.5402,0.5533,0.5004,0.5007
2016-01-14,0.4996,0.5167,0.4719,0.5089
2016-01-15,0.4935,0.5091,0.4566,0.4732
2016-01-18,0.482,0.497,0.465,0.4686
2016-01-19,0.4852,0.5074,0.4724,0.4792
2016-01-20,0.507,0.516,0.476,0.483
2016-01-21,0.499,0.51,0.433,0.453
2016-01-22,0.466,0.499,0.455,0.48
2016-01-25,0.482,0.493,0.466,0.471
2016-01-26,0.449,0.465,0.433,0.447
2016-01-27,0.441,0.46,0.421,0.445
2016-01-28,0.421,0.437,0.382,0.406
2016-01-29,0.371,0.382,0.326,0.326
2016-02-01,0.313,0.362,0.306,0.353
2016-02-02,0.333,0.34,0.301,0.307
2016-02-03,0.295,0.328,0.265,0.276
2016-02-04,0.294,0.329,0.289,0.304
2016-02-05,0.295,0.329,0.281,0.296
2016-02-08,0.298,0.302,0.214,0.219
2016-02-09,0.201,0.271,0.194,0.236
2016-02-10,0.245,0.269,0.233,0.243
2016-02-11,0.209,0.209,0.132,0.189
2016-02-12,0.223,0.274,0.198,0.263
2016-02-15,0.298,0.298,0.226,0.24
2016-02-16,0.249,0.281,0.241,0.267
2016-02-17,0.255,0.286,0.242,0.271
2016-02-18,0.257,0.268,0.209,0.22
2016-02-19,0.199,0.22,0.179,0.204
2016-02-22,0.205,0.216,0.173,0.176
2016-02-23,0.18,0.229,0.175,0.184
2016-02-24,0.174,0.174,0.127,0.156
2016-02-25,0.157,0.171,0.131,0.139
2016-02-26,0.147,0.16,0.136,0.146
2016-02-29,0.146,0.151,0.103,0.109
2016-03-01,0.12,0.161,0.116,0.147
2016-03-02,0.175,0.216,0.166,0.209
2016-03-03,0.217,0.239,0.166,0.172
2016-03-04,0.176,0.242,0.17,0.24
2016-03-07,0.207,0.226,0.198,0.225
2016-03-08,0.193,0.196,0.164,0.184
2016-03-09,0.213,0.243,0.196,0.241
2016-03-10,0.233,0.33,0.16,0.31
2016-03-11,0.306,0.306,0.251,0.271
2016-03-14,0.269,0.283,0.238,0.281
2016-03-15,0.282,0.32,0.27,0.317
2016-03-16,0.313,0.319,0.277,0.311
2016-03-17,0.262,0.265,0.225,0.233
2016-03-18,0.212,0.232,0.198,0.214
2016-03-21,0.221,0.241,0.185,0.231
2016-03-22,0.21,0.233,0.183,0.214
2016-03-23,0.222,0.238,0.194,0.195
2016-03-24,0.188,0.19,0.159,0.182
2016-03-29,0.18,0.18,0.141,0.153
2016-03-30,0.138,0.173,0.123,0.166
2016-03-31,0.144,0.18,0.137,0.159
2016-04-01,0.158,0.164,0.128,0.147
2016-04-04,0.124,0.151,0.119,0.14
2016-04-05,0.116,0.117,0.081,0.1
2016-04-06,0.102,0.131,0.093,0.115
2016-04-07,0.112,0.125,0.088,0.094
2016-04-08,0.099,0.112,0.09,0.102
2016-04-11,0.099,0.135,0.075,0.121
2016-04-12,0.121,0.159,0.118,0.152
2016-04-13,0.174,0.174,0.14,0.142
2016-04-14,0.129,0.182,0.124,0.157
2016-04-15,0.167,0.167,0.128,0.128
2016-04-18,0.117,0.159,0.114,0.155
2016-04-19,0.167,0.189,0.153,0.184
2016-04-20,0.157,0.171,0.143,0.147
2016-04-21,0.175,0.242,0.172,0.22
2016-04-22,0.225,0.242,0.219,0.235
2016-04-25,0.217,0.278,0.212,0.261
