Date,Open,High,Low,Close
2016-01-04,2.2357,2.2463,2.202,2.2463
2016-01-05,2.2516,2.2605,2.2232,2.2357
2016-01-06,2.2215,2.225,2.1685,2.1702
2016-01-07,2.1526,2.2002,2.1192,2.1455
2016-01-08,2.1754,2.225,2.1121,2.1156
2016-01-11,2.1261,2.1789,2.1261,2.1754
2016-01-12,2.163,2.2001,2.0805,2.1032
2016-01-13,2.1278,2.1507,2.042,2.0962
2016-01-14,2.0944,2.1225,2.0489,2.0909
2016-01-15,2.0784,2.089,1.986,2.0382
2016-01-19,2.0784,2.0872,2.0207,2.057
2016-01-20,1.9911,2.0033,1.9391,1.9824
2016-01-21,1.9806,2.0346,1.9563,2.0311
2016-01-22,2.0536,2.0887,2.041,2.054
2016-01-25,2.0536,2.0536,2.0029,2.003
2016-01-26,1.9872,2.0273,1.9611,1.9977
2016-01-27,1.9959,2.0535,1.9872,2.0028
2016-01-28,2.0045,2.0377,1.9714,1.9784
2016-01-29,1.9521,1.9643,1.9105,1.9209
2016-02-01,1.9104,1.966,1.9052,1.95
2016-02-02,1.9398,1.9433,1.8448,1.8448
2016-02-03,1.8516,1.8964,1.7933,1.8895
2016-02-04,1.8912,1.9102,1.841,1.8429
2016-02-05,1.8443,1.8961,1.8254,1.8357
2016-02-08,1.858,1.8649,1.7329,1.7483
2016-02-09,1.7022,1.7669,1.6954,1.7294
2016-02-10,1.7276,1.7736,1.6681,1.6681
2016-02-11,1.683,1.683,1.5303,1.6625
2016-02-12,1.6949,1.7585,1.6676,1.7516
2016-02-16,1.7792,1.7982,1.743,1.7757
2016-02-17,1.7482,1.8468,1.7396,1.819
2016-02-18,1.8,1.8295,1.7362,1.7396
2016-02-19,1.7311,1.7846,1.7191,1.7449
2016-02-22,1.7552,1.7829,1.7501,1.755
2016-02-23,1.7484,1.8141,1.7139,1.7225
2016-02-24,1.7294,1.7553,1.6471,1.7518
2016-02-25,1.7209,1.745,1.6779,1.7191
2016-02-26,1.7227,1.7831,1.714,1.7658
2016-02-29,1.7451,1.7676,1.7296,1.7382
2016-03-01,1.7313,1.8371,1.7279,1.8284
2016-03-02,1.8389,1.8721,1.8284,1.8406
2016-03-03,1.8476,1.8634,1.8145,1.837
2016-03-04,1.8269,1.9021,1.8182,1.8776
2016-03-07,1.8829,1.9198,1.8811,1.9057
2016-03-08,1.8689,1.8724,1.8043,1.8287
2016-03-09,1.8532,1.8971,1.8445,1.876
2016-03-10,1.8638,1.9518,1.855,1.9359
2016-03-11,1.9467,1.9857,1.9237,1.9857
2016-03-14,1.9698,1.984,1.9415,1.9609
2016-03-15,1.9415,1.9752,1.9151,1.9681
2016-03-16,1.9646,2.0019,1.9063,1.913
2016-03-17,1.8888,1.9099,1.8537,1.8976
2016-03-18,1.8767,1.896,1.8626,1.8767
2016-03-21,1.875,1.9243,1.868,1.9173
2016-03-22,1.9085,1.9474,1.8786,1.9439
2016-03-23,1.9333,1.9457,1.8716,1.8786
2016-03-24,1.8718,1.902,1.8525,1.9
2016-03-28,1.9054,1.9178,1.8631,1.8878
2016-03-29,1.8914,1.8914,1.8018,1.8018
2016-03-30,1.8088,1.8615,1.807,1.8228
2016-03-31,1.8124,1.8316,1.7687,1.7791
2016-04-01,1.795,1.8142,1.7618,1.781
2016-04-04,1.7548,1.7915,1.7548,1.7723
2016-04-05,1.7496,1.7549,1.7166,1.7218
2016-04-06,1.734,1.7741,1.7288,1.7532
2016-04-07,1.7532,1.7602,1.6854,1.6906
2016-04-08,1.715,1.7376,1.7063,1.7184
2016-04-11,1.7202,1.7551,1.6976,1.7219
2016-04-12,1.7411,1.7848,1.7394,1.7743
2016-04-13,1.7936,1.7972,1.7569,1.7639
2016-04-14,1.7657,1.8042,1.7569,1.7902
2016-04-15,1.7903,1.7938,1.7395,1.7518
2016-04-18,1.7273,1.7868,1.7273,1.7675
2016-04-19,1.7816,1.8062,1.7711,1.7886
2016-04-20,1.7641,1.8592,1.7519,1.8468
2016-04-21,1.8398,1.8911,1.838,1.8716
2016-04-22,1.8559,1.8967,1.847,1.886
2016-04-25,1.8772,1.9074,1.8648,1.9074
2016-04-26,1.9004,1.9414,1.8897,1.936
2016-04-27,1.9111,1.9165,1.8543,1.8632
2016-04-28,1.8366,1.8721,1.8154,1.8278
2016-04-29,1.8386,1.8758,1.8156,1.828
2016-05-02,1.8192,1.8706,1.8103,1.8688
2016-05-03,1.8564,1.8582,1.7822,1.7998
2016-05-04,1.8069,1.8175,1.7717,1.7717
2016-05-05,1.7928,1.8087,1.7401,1.7401
2016-05-06,1.7507,1.7859,1.7051,1.7789
2016-05-09,1.7842,1.7895,1.7525,1.7525
2016-05-10,1.7648,1.7754,1.7472,1.7525
2016-05-11,1.7543,1.7649,1.7209,1.7367
2016-05-12,1.7344,1.7654,1.7155,1.7516
2016-05-13,1.7292,1.755,1.7001,1.702
2016-05-16,1.7121,1.7551,1.7087,1.7516
2016-05-17,1.7499,1.7741,1.7361,1.7603
2016-05-18,1.7758,1.887,1.7672,1.8608
2016-05-19,1.8801,1.8835,1.8296,1.8504
2016-05-20,1.8367,1.868,1.8367,1.8471
2016-05-23,1.8402,1.8559,1.8176,1.8332
2016-05-24,1.8263,1.8804,1.8211,1.8629
2016-05-25,1.8682,1.8822,1.849,1.8717
2016-05-26,1.8543,1.87,1.8212,1.8299
2016-05-27,1.8336,1.8563,1.8214,1.851
2016-05-31,1.8702,1.8896,1.8302,1.8441
2016-06-01,1.8372,1.8511,1.8041,1.8424
2016-06-02,1.8268,1.8407,1.7972,1.8059
2016-06-03,1.806,1.8077,1.697,1.6987
2016-06-06,1.7056,1.7419,1.7039,1.7315
2016-06-07,1.7402,1.7436,1.7039,1.7143
2016-06-08,1.7125,1.7212,1.697,1.7022
2016-06-09,1.6833,1.6867,1.6592,1.6798
2016-06-10,1.6799,1.6816,1.6267,1.6438
2016-06-13,1.6232,1.6404,1.6078,1.613
2016-06-14,1.6215,1.6232,1.5669,1.6215
2016-06-15,1.6198,1.6369,1.5771,1.5822
2016-06-16,1.5515,1.5805,1.5176,1.5703
2016-06-17,1.6044,1.6215,1.5822,1.6112
2016-06-20,1.6541,1.6817,1.6421,1.6714
2016-06-21,1.6662,1.7094,1.661,1.7024
2016-06-22,1.6938,1.7111,1.68,1.6869
2016-06-23,1.7025,1.7476,1.6938,1.7406
2016-06-24,1.4462,1.5872,1.4058,1.5735
2016-06-27,1.5054,1.5258,1.4495,1.4597
2016-06-28,1.4562,1.4833,1.4478,1.4579
2016-06-29,1.4646,1.5138,1.4545,1.5104
2016-06-30,1.5087,1.5461,1.4528,1.4832
2016-07-01,1.4492,1.4729,1.3818,1.456
2016-07-05,1.4171,1.4204,1.3566,1.375
2016-07-06,1.3582,1.3951,1.3213,1.3749
2016-07-07,1.3715,1.422,1.3615,1.3883
2016-07-08,1.3612,1.4422,1.3562,1.3629
