Date,Open,High,Low,Close
2016-01-04,2024.67,2026.02,1989.56,2013.7
2016-01-05,2021.61,2022.54,2001.59,2018.65
2016-01-06,2002.04,2006.12,1978.91,1992.17
2016-01-07,1964.61,1976.95,1938.62,1943.94
2016-01-08,1961.46,1973.05,1918.42,1921.12
2016-01-11,1911.65,1936.98,1900.92,1922.92
2016-01-12,1912.4,1948.44,1909.11,1938.65
2016-01-13,1946.63,1954.65,1886.4,1890.9
2016-01-14,1901.42,1935.65,1879.6,1921.64
2016-01-15,1905.6,1910.65,1857.1,1879.61
2016-01-18,1886.62,1897.64,1874.6,1880.42
2016-01-19,1901.41,1915.2,1864.12,1882.11
2016-01-20,1848.61,1876.4,1811.6,1859.43
2016-01-21,1853.6,1890.42,1843.6,1867.92
2016-01-22,1886.92,1909.91,1884.5,1907.12
2016-01-25,1907.54,1908.48,1875.41,1878.11
2016-01-26,1869.13,1907.61,1858.55,1903.6
2016-01-27,1896.23,1917.45,1872.07,1882.91
2016-01-28,1886.43,1910.02,1873.52,1892.61
2016-01-29,1906.46,1939.84,1896.27,1939.43
2016-02-01,1936.42,1947.37,1919.77,1938.45
2016-02-02,1931.8,1933.19,1896.83,1903.64
2016-02-03,1901.29,1919.45,1872.28,1913.94
2016-02-04,1927.4,1928.12,1896.82,1916.41
2016-02-05,1911.01,1920.65,1872.1,1879.93
2016-02-08,1889.55,1890.54,1828.26,1853.77
2016-02-09,1843.79,1869.92,1832.26,1854.67
2016-02-10,1849.02,1882.53,1849,1851.9
2016-02-11,1841.88,1845.64,1808.52,1827.67
2016-02-12,1830.45,1865.43,1828.16,1865.15
2016-02-15,1881.25,1894.44,1877.12,1889.4
2016-02-16,1894.02,1896.16,1874.59,1895.92
2016-02-17,1888.35,1931.43,1885.48,1926.66
2016-02-18,1928.62,1937.67,1915.64,1919.13
2016-02-19,1924.09,1926.53,1902.06,1917.66
2016-02-22,1926.95,1947.39,1926.92,1945.14
2016-02-23,1933.39,1941.4,1919.28,1921.39
2016-02-24,1919.06,1932.91,1890.74,1929.91
2016-02-25,1928.55,1952.64,1923.63,1952.13
2016-02-26,1955.3,1971.92,1945.91,1948.38
2016-02-29,1934.9,1959.14,1930.26,1931.51
2016-03-01,1931.64,1978.31,1931.64,1977.42
2016-03-02,1978,1987.05,1968.63,1982
2016-03-03,1987.05,1993.92,1977.1,1993.71
2016-03-04,1992.44,2009.66,1986.39,2000.66
2016-03-07,1995.37,2006.67,1987.14,2001.65
2016-03-08,1992.84,1996.22,1977.91,1980.4
2016-03-09,1986.06,1995.48,1979.71,1990.14
2016-03-10,1990.27,2011.42,1968.63,1990.17
2016-03-11,2003.66,2023.51,2003.09,2022.42
2016-03-14,2017.67,2024.78,2012.13,2019.39
2016-03-15,2014.42,2016.61,2004.87,2016.26
2016-03-16,2018.27,2032.53,2006.89,2027.41
2016-03-17,2031.43,2046.96,2016.17,2041.41
2016-03-18,2042.53,2053.3,2037.39,2049.13
2016-03-21,2043.54,2054.71,2041.13,2051.39
2016-03-22,2051.28,2057.91,2039.13,2051.39
2016-03-23,2049.54,2055.41,2035.64,2038.42
2016-03-24,2034.65,2036.59,2022.12,2036.15
2016-03-28,2044.4,2049.42,2031.88,2037.13
2016-03-29,2041.03,2056.92,2028.63,2056.92
2016-03-30,2057.81,2073.72,2057.12,2065.15
2016-03-31,2060.95,2068.5,2056.13,2059.42
2016-04-01,2055.67,2075.74,2044.05,2073.63
2016-04-04,2075.5,2079.68,2062.62,2066.63
2016-04-05,2058.42,2060.68,2042.62,2045.88
2016-04-06,2053.65,2068.18,2042.88,2067.15
2016-04-07,2066.67,2068.68,2033.87,2042.62
2016-04-08,2048.63,2061.92,2041.89,2048.89
2016-04-11,2047.91,2064.23,2040.38,2042.68
2016-04-12,2044.53,2065.81,2039.87,2062.14
2016-04-13,2068.14,2084.19,2065.14,2082.88
2016-04-14,2081.67,2088.42,2075.37,2082.43
2016-04-15,2083.79,2084.7,2076.37,2079.83
2016-04-18,2068.39,2095.35,2065.38,2094.89
2016-04-19,2095.66,2105.17,2091.65,2101.39
2016-04-20,2093.75,2111.92,2092.53,2103.42
2016-04-21,2109.87,2110.5,2088.76,2092.39
2016-04-22,2092.13,2095.33,2081.15,2092.14
2016-04-25,2090.16,2092.12,2077.37,2088.39
2016-04-26,2089.4,2097.42,2085.89,2091.93
2016-04-27,2088.8,2100.17,2082.59,2095.67
2016-04-28,2084.95,2099.67,2071.38,2076.38
2016-04-29,2077.38,2081.66,2052.13,2065.09
2016-05-02,2065.15,2083.67,2063.38,2081.13
2016-05-03,2079.42,2080.92,2054.16,2063.66
2016-05-04,2061.54,2065.43,2045.37,2051.3
2016-05-05,2059.63,2066.22,2045.52,2051.15
2016-05-06,2047.5,2058.42,2036.37,2057.9
2016-05-09,2060.9,2065.51,2054.13,2060.64
2016-05-10,2064.89,2085.42,2063.37,2085.14
2016-05-11,2078.48,2083.03,2064.61,2064.67
2016-05-12,2067.33,2077.28,2053.23,2065.65
2016-05-13,2056.6,2068.16,2042.93,2047.16
2016-05-16,2050.39,2072.64,2046.13,2066.92
2016-05-17,2068.09,2072.86,2040.6,2047.92
2016-05-18,2047,2061.41,2034.44,2047.16
2016-05-19,2040.58,2044.64,2025.87,2039.67
2016-05-20,2049.04,2059.17,2044.31,2053.38
2016-05-23,2054.68,2059.65,2046.89,2050.62
2016-05-24,2045.87,2080.15,2044.39,2076.38
2016-05-25,2081.59,2095.36,2080.63,2090.09
2016-05-26,2088.17,2094.41,2087.04,2090.64
2016-05-27,2093.8,2100.75,2090.43,2099.92
2016-05-30,2105.03,2105.47,2102.07,2104.07
2016-05-31,2103.24,2103.96,2088.36,2095.64
