Date,Open,High,Low,Close
2016-01-04,27.0148,27.0831,26.9643,27.0206
2016-01-05,27.0212,27.0482,26.9845,27.0097
2016-01-06,27.0154,27.0819,26.9518,27.0279
2016-01-07,27.0265,27.106,26.9935,27.0473
2016-01-08,27.0417,27.1098,26.8712,27.0256
2016-01-11,26.9904,27.0785,26.9838,27.0239
2016-01-12,27.0212,27.0642,26.9814,27.0222
2016-01-13,27.0268,27.0675,26.9779,27.0299
2016-01-14,27.0239,27.0802,26.9794,27.0244
2016-01-15,27.019,27.0795,26.9808,27.0331
2016-01-18,27.0284,27.0579,26.9925,27.0265
2016-01-19,27.0375,27.06,26.996,27.0305
2016-01-20,27.0362,27.0793,26.9848,27.0395
2016-01-21,27.049,27.1285,26.9964,27.04
2016-01-22,27.0432,27.0712,26.9917,27.0268
2016-01-25,27.0192,27.0442,27.0011,27.0182
2016-01-26,27.0213,27.05,26.9855,27.028
2016-01-27,27.022,27.1034,26.9774,27.0245
2016-01-28,27.0225,27.0651,26.9855,27.0176
2016-01-29,27.0229,27.0737,26.964,27.0222
2016-02-01,27.0145,27.0572,26.9929,27.0142
2016-02-02,27.0208,27.0518,26.988,27.0342
2016-02-03,27.0218,27.1398,26.9721,27.006
2016-02-04,27.0228,27.1168,26.9753,27.0147
2016-02-05,27.0227,27.147,26.9518,27.0708
2016-02-08,27.0793,27.1089,26.9822,27.0617
2016-02-09,27.0622,27.1303,26.9891,27.0297
2016-02-10,27.0215,27.1122,26.9688,27.0309
2016-02-11,27.0382,27.1323,26.9911,27.0343
2016-02-12,27.031,27.0978,26.9734,27.0492
2016-02-15,27.0511,27.0732,26.9942,27.0237
2016-02-16,27.0243,27.0744,26.9862,27.0218
2016-02-17,27.0178,27.0596,26.9809,27.0277
2016-02-18,27.0305,27.0529,26.9886,27.0265
2016-02-19,27.0212,27.0737,26.9723,27.0265
2016-02-22,27.0371,27.0829,26.9826,27.0641
2016-02-23,27.0658,27.0996,26.9945,27.0285
2016-02-24,27.0279,27.0923,26.9908,27.0554
2016-02-25,27.0501,27.0975,27.018,27.0499
2016-02-26,27.0506,27.0926,26.9961,27.0362
2016-02-29,27.04,27.0883,27.0045,27.0603
2016-03-01,27.0625,27.0918,26.9872,27.0345
2016-03-02,27.0351,27.0771,27.0018,27.0579
2016-03-03,27.063,27.1131,27.0215,27.0473
2016-03-04,27.0468,27.2323,26.8876,27.0609
2016-03-07,27.0605,27.0984,27.0192,27.0652
2016-03-08,27.0604,27.0914,27.0186,27.0468
2016-03-09,27.0426,27.1045,27.011,27.0501
2016-03-10,27.0543,27.4305,26.772,27.0566
2016-03-11,27.0709,27.11,27.0204,27.0508
2016-03-14,27.0602,27.086,27.0056,27.0445
2016-03-15,27.0396,27.0819,27.0093,27.0354
2016-03-16,27.0386,27.2493,26.9889,27.0572
2016-03-17,27.0621,27.0951,26.9911,27.0469
2016-03-18,27.0371,27.0841,27.0106,27.032
2016-03-21,27.037,27.0658,26.9994,27.0268
2016-03-22,27.0267,27.0668,26.9574,27.0351
2016-03-23,27.0349,27.0805,27.0098,27.043
2016-03-24,27.045,27.0953,27.0122,27.0678
2016-03-28,27.054,27.1024,27.0367,27.0708
2016-03-29,27.0765,27.102,27.0232,27.0541
2016-03-30,27.0629,27.1409,27.0308,27.0564
2016-03-31,27.0557,27.091,27.0062,27.0471
2016-04-01,27.043,27.0628,26.9826,27.0314
2016-04-04,27.0289,27.0876,27.0083,27.0366
2016-04-05,27.0372,27.0743,26.9879,27.0367
2016-04-06,27.0361,27.0888,26.9727,27.0267
2016-04-07,27.0279,27.0753,26.9688,27.0262
2016-04-08,27.0232,27.0627,26.9934,27.0202
2016-04-11,27.0132,27.0681,26.983,27.0239
2016-04-12,27.0284,27.0823,26.9903,27.0243
2016-04-13,27.0167,27.0853,26.9933,27.0287
2016-04-14,27.0323,27.0936,26.993,27.0366
2016-04-15,27.0221,27.0673,26.9939,27.0257
2016-04-18,27.0165,27.0587,26.9882,27.0217
2016-04-19,27.0229,27.0476,26.993,27.0261
2016-04-20,27.0198,27.0514,26.9762,27.0182
2016-04-21,27.0188,27.0664,26.9342,27.0243
2016-04-22,27.0198,27.0706,26.9815,27.0423
2016-04-25,27.0547,27.0686,27.0112,27.0337
2016-04-26,27.0228,27.0831,27.0076,27.0384
2016-04-27,27.0381,27.0936,26.8943,27.0375
2016-04-28,27.0396,27.0998,27.0045,27.0391
2016-04-29,27.0507,27.0972,27.0098,27.0349
2016-05-02,27.0442,27.1233,27.0117,27.0319
2016-05-03,27.0352,27.0743,26.997,27.0192
2016-05-04,27.0388,27.0846,26.9684,27.0283
2016-05-05,27.0281,27.057,26.9846,27.029
2016-05-06,27.0299,27.1423,26.9473,27.0137
2016-05-09,27.029,27.059,26.994,27.019
2016-05-10,27.0163,27.0584,26.9796,27.0203
2016-05-11,27.0199,27.0492,26.9976,27.0233
2016-05-12,27.028,27.046,26.9978,27.0166
2016-05-13,27.0194,27.0499,26.9537,27.015
2016-05-16,27.021,27.0472,27.0027,27.025
2016-05-17,27.0208,27.0559,26.9866,27.021
2016-05-18,27.0201,27.0537,26.9213,27.0192
2016-05-19,27.0223,27.0571,26.9622,27.0212
2016-05-20,27.0152,27.0569,27.0042,27.0415
2016-05-23,27.0343,27.0537,27.0064,27.0374
2016-05-24,27.0343,27.0624,26.9959,27.0312
2016-05-25,27.0293,27.064,27.0005,27.0224
2016-05-26,27.0184,27.0615,26.9973,27.0261
2016-05-27,27.0262,27.052,26.9731,27.0239
2016-05-30,27.0213,27.0445,27.0033,27.0223
2016-05-31,27.0201,27.0454,26.9887,27.021
2016-06-01,27.0208,27.0594,26.9681,27.03
2016-06-02,27.0286,27.1422,26.9741,27.019
2016-06-03,27.0222,27.2986,26.9965,27.028
2016-06-06,27.0224,27.073,26.9598,27.0181
2016-06-07,27.0297,27.0466,26.997,27.0208
2016-06-08,27.021,27.0423,27,27.0263
