Date,Open,High,Low,Close
2016-01-04,315.33,316.272,313.961,314.858
2016-01-05,314.858,315.57,313.099,313.569
2016-01-06,313.571,315.073,313.23,314.669
2016-01-07,314.63,316.264,313.539,314.32
2016-01-08,314.321,316.562,313.799,316.521
2016-01-11,316.081,317.899,315.859,317.559
2016-01-12,317.559,319.022,315.83,316.37
2016-01-13,316.37,316.621,314.499,315.632
2016-01-14,315.601,316.53,314.548,314.678
2016-01-15,314.68,315.951,313.568,315.24
2016-01-18,315.27,315.859,314.568,315.31
2016-01-19,315.309,315.46,314.349,315.009
2016-01-20,315.009,316.261,314.438,314.72
2016-01-21,314.718,315.627,313.129,314.53
2016-01-22,314.519,314.519,311.202,311.41
2016-01-25,311.778,313.101,311.339,312.45
2016-01-26,312.45,312.881,311.75,311.92
2016-01-27,311.919,314.421,311.809,314.054
2016-01-28,314.066,314.704,312.889,313.241
2016-01-29,313.242,313.582,310.398,311.229
2016-02-01,311.109,311.731,310.099,310.29
2016-02-02,310.29,312.163,309.769,312.068
2016-02-03,312.068,312.096,310.288,311.27
2016-02-04,311.22,311.422,309.539,310.501
2016-02-05,310.501,310.652,309.01,309.059
2016-02-08,309.51,311.511,309.042,310.748
2016-02-09,310.748,312.92,310.349,311.967
2016-02-10,311.971,312.33,310.748,311.431
2016-02-11,311.429,312.869,310.569,310.978
2016-02-12,311.16,311.181,309.201,309.791
2016-02-15,310.213,310.238,308.97,309.439
2016-02-16,309.44,311.34,309.24,310.731
2016-02-17,310.73,311.821,309.188,309.731
2016-02-18,309.729,310.455,309.279,310.094
2016-02-19,310.114,310.439,308.211,308.422
2016-02-22,308.661,309.009,306.76,307.031
2016-02-23,307.03,308.22,306.94,308.091
2016-02-24,308.091,311.019,307.62,309.95
2016-02-25,309.95,311.551,309.539,311.408
2016-02-26,311.438,311.941,309.916,311.179
2016-02-29,311.301,311.632,309.608,309.89
2016-03-01,309.89,310.362,308.579,309.561
2016-03-02,309.56,311.24,309.28,310.599
2016-03-03,310.599,310.771,308.489,309.751
2016-03-04,309.769,310.219,307.49,308.361
2016-03-07,308.351,310.461,308.09,309.969
2016-03-08,310.099,311.523,309.288,309.899
2016-03-09,309.949,310.591,308.75,309.059
2016-03-10,309.061,311.618,308.813,311.308
2016-03-11,311.284,311.43,309.618,309.862
2016-03-14,310.241,310.7,309.569,309.97
2016-03-15,309.97,310.96,309.589,310.54
2016-03-16,310.511,312.041,309.729,311.509
2016-03-17,311.51,311.85,309.819,310.269
2016-03-18,310.269,310.771,309.619,309.93
2016-03-21,309.891,311.199,309.649,310.642
2016-03-22,310.642,313.05,310.469,311.54
2016-03-23,311.569,313.871,311.402,313.101
2016-03-24,313.092,314.332,312.95,313.84
2016-03-28,313.929,313.991,313.089,313.28
2016-03-29,313.281,314.41,312.842,313.492
2016-03-30,313.488,314.911,312.719,314.728
2016-03-31,314.73,314.901,313.518,313.769
2016-04-01,313.769,314.129,313.029,313.32
2016-04-04,313.457,313.749,312.161,312.505
2016-04-05,312.477,313.31,311.949,313.011
2016-04-06,313.039,313.129,311.829,312.161
2016-04-07,312.061,312.501,311.45,312.445
2016-04-08,312.31,312.88,311.828,312.46
2016-04-11,312.362,312.652,311.38,311.61
2016-04-12,311.608,312.012,310.959,311.413
2016-04-13,311.232,311.431,310.43,310.822
2016-04-14,310.83,311.61,310.629,311.382
2016-04-15,311.313,311.358,310.049,311.14
2016-04-18,311.019,311.45,309.909,310.929
2016-04-19,310.929,311.088,309.519,309.878
2016-04-20,309.718,310.102,308.638,309.191
2016-04-21,309.189,310.892,308.63,309.799
2016-04-22,309.821,310.967,309.521,310.259
2016-04-25,310.421,312.041,310.288,311.661
2016-04-26,311.639,312.701,311.149,311.428
2016-04-27,311.428,312.609,311.201,311.378
2016-04-28,311.488,311.76,310.39,311.318
2016-04-29,311.318,313.058,310.958,311.642
2016-05-02,311.721,311.9,310.298,310.839
2016-05-03,310.839,312.581,310.679,312.189
2016-05-04,311.97,313.34,311.839,312.989
2016-05-05,312.993,313.338,312.181,312.56
2016-05-06,312.562,314.412,312.168,314.12
2016-05-09,314.061,316.111,313.45,315.598
2016-05-10,315.602,315.961,313.141,314.62
2016-05-11,314.61,315.891,314.15,315.731
2016-05-12,315.65,315.979,314.552,315.519
2016-05-13,315.508,316.351,314.709,315.151
2016-05-16,315.649,315.932,314.469,315.28
2016-05-17,315.278,315.772,314.279,314.911
2016-05-18,314.811,316.85,314.81,316.139
2016-05-19,316.139,316.921,315.719,316.289
2016-05-20,316.292,316.939,315.808,316.489
2016-05-23,315.008,317.741,314.338,317.47
2016-05-24,317.449,317.816,314.997,315.3
2016-05-25,315.339,315.41,313.71,314.121
2016-05-26,314.119,314.484,313.497,313.87
