Date,Open,High,Low,Close
2016-01-04,1.08672,1.09464,1.07817,1.08296
2016-01-05,1.0829,1.08388,1.07108,1.07539
2016-01-06,1.07536,1.07992,1.07181,1.07768
2016-01-07,1.07755,1.09402,1.07713,1.09218
2016-01-08,1.0922,1.0927,1.08024,1.09207
2016-01-11,1.09446,1.09694,1.08493,1.08625
2016-01-12,1.08625,1.09002,1.08198,1.08481
2016-01-13,1.08481,1.08877,1.08051,1.08824
2016-01-14,1.08823,1.09424,1.08348,1.08617
2016-01-15,1.08614,1.09844,1.08549,1.09187
2016-01-18,1.09119,1.09276,1.08696,1.0891
2016-01-19,1.08908,1.09385,1.08599,1.09141
2016-01-20,1.09141,1.0976,1.08774,1.0891
2016-01-21,1.08908,1.0921,1.07786,1.08712
2016-01-22,1.0871,1.08766,1.07895,1.07975
2016-01-25,1.07929,1.0857,1.07898,1.08501
2016-01-26,1.08501,1.08744,1.08192,1.08659
2016-01-27,1.08663,1.09164,1.0851,1.0903
2016-01-28,1.0903,1.09677,1.08698,1.0938
2016-01-29,1.09386,1.09482,1.08107,1.08331
2016-02-01,1.08297,1.09127,1.08146,1.08897
2016-02-02,1.08897,1.09388,1.08867,1.09247
2016-02-03,1.09244,1.1145,1.09039,1.10817
2016-02-04,1.10817,1.12388,1.10699,1.12007
2016-02-05,1.12008,1.12454,1.1109,1.11534
2016-02-08,1.11459,1.12158,1.10868,1.11999
2016-02-09,1.11999,1.13373,1.11625,1.12878
2016-02-10,1.12877,1.13111,1.11614,1.12785
2016-02-11,1.12782,1.13753,1.12742,1.13142
2016-02-12,1.13135,1.13324,1.12142,1.12549
2016-02-15,1.12389,1.12419,1.11281,1.11635
2016-02-16,1.11637,1.11929,1.11246,1.11373
2016-02-17,1.11372,1.1179,1.11062,1.1129
2016-02-18,1.11292,1.11497,1.10715,1.11094
2016-02-19,1.11094,1.11395,1.10668,1.11316
2016-02-22,1.11165,1.11247,1.10046,1.10275
2016-02-23,1.10274,1.1052,1.09903,1.10201
2016-02-24,1.10201,1.10455,1.09586,1.10166
2016-02-25,1.10166,1.10499,1.09878,1.10203
2016-02-26,1.10205,1.10684,1.0912,1.09383
2016-02-29,1.09171,1.09625,1.08596,1.08841
2016-03-01,1.08841,1.08937,1.08348,1.08673
2016-03-02,1.08672,1.08802,1.08256,1.08695
2016-03-03,1.08695,1.09727,1.08538,1.09494
2016-03-04,1.09497,1.10436,1.09037,1.10019
