Date,Open,High,Low,Close
2016-01-04,3.93198,3.98896,3.92353,3.96943
2016-01-05,3.96953,4.01952,3.96634,4.00486
2016-01-06,4.00507,4.05118,3.99855,4.03686
2016-01-07,4.03684,4.03811,3.97205,3.97911
2016-01-08,3.97858,4.02413,3.97735,3.99598
2016-01-11,3.98427,4.02141,3.97793,4.00615
2016-01-12,4.00565,4.03043,3.99693,4.01973
2016-01-13,4.01973,4.0334,3.99484,4.00117
2016-01-14,4.00071,4.04878,3.98718,4.0459
2016-01-15,4.04601,4.10888,4.01384,4.10327
2016-01-18,4.1094,4.12711,4.08663,4.09522
2016-01-19,4.09535,4.10161,4.06222,4.07643
2016-01-20,4.07643,4.13455,4.06187,4.12906
2016-01-21,4.12869,4.15202,4.10801,4.13217
2016-01-22,4.13221,4.14686,4.09926,4.12993
2016-01-25,4.13332,4.13495,4.11394,4.12717
2016-01-26,4.12717,4.15579,4.09155,4.09337
2016-01-27,4.09336,4.12471,4.09153,4.11175
2016-01-28,4.11135,4.11874,4.06792,4.07242
2016-01-29,4.07292,4.09473,4.05783,4.07996
2016-02-01,4.08762,4.09605,4.02788,4.04002
2016-02-02,4.04002,4.04937,4.01055,4.04753
2016-02-03,4.04757,4.04757,3.97102,3.98568
2016-02-04,3.98253,3.992,3.93394,3.94843
2016-02-05,3.94845,3.96908,3.92567,3.953
2016-02-08,3.96055,4.00158,3.93811,3.9711
2016-02-09,3.97127,3.98944,3.92377,3.94069
2016-02-10,3.94076,3.95313,3.89979,3.90622
2016-02-11,3.90618,3.93929,3.88733,3.90975
2016-02-12,3.91002,3.92943,3.90225,3.90684
2016-02-15,3.9128,3.95436,3.91186,3.93725
2016-02-16,3.93725,3.96295,3.93085,3.9537
2016-02-17,3.95365,3.95999,3.93832,3.95119
2016-02-18,3.95119,3.96273,3.93346,3.95596
2016-02-19,3.95573,3.95844,3.92437,3.9254
2016-02-22,3.93352,3.9686,3.9303,3.95231
2016-02-23,3.95231,3.97929,3.94777,3.97636
2016-02-24,3.97634,3.98708,3.96388,3.97437
2016-02-25,3.97437,3.9747,3.94494,3.95254
2016-02-26,3.95146,4.00238,3.936,3.99372
2016-02-29,4.00145,4.0054,3.9834,3.99756
2016-03-01,3.99697,4.00434,3.97953,3.98407
2016-03-02,3.98415,4.00455,3.97095,3.97701
2016-03-03,3.97701,3.9895,3.95535,3.9616
2016-03-04,3.96237,3.9668,3.92122,3.92765
2016-03-07,3.9352,3.95923,3.93024,3.93278
2016-03-08,3.9328,3.9394,3.91043,3.92825
2016-03-09,3.92865,3.94239,3.91175,3.92737
2016-03-10,3.92731,3.96651,3.87034,3.88047
2016-03-11,3.8804,3.89372,3.8355,3.84936
2016-03-14,3.84685,3.8627,3.84345,3.8533
2016-03-15,3.8533,3.87545,3.84999,3.86139
2016-03-16,3.86159,3.89198,3.81759,3.82435
2016-03-17,3.8243,3.83323,3.7659,3.77903
2016-03-18,3.77903,3.79494,3.77024,3.78119
2016-03-21,3.78256,3.79375,3.77389,3.78962
2016-03-22,3.78962,3.81484,3.78095,3.79474
2016-03-23,3.79471,3.81982,3.7924,3.81244
2016-03-24,3.81244,3.8401,3.80835,3.81916
2016-03-28,3.81931,3.8212,3.78539,3.79699
2016-03-29,3.79718,3.8057,3.75656,3.76166
2016-03-30,3.76166,3.78282,3.74327,3.76855
2016-03-31,3.76824,3.7824,3.71794,3.72815
2016-04-01,3.72814,3.74044,3.70513,3.73549
2016-04-04,3.72802,3.73785,3.71498,3.72303
2016-04-05,3.72393,3.75524,3.72076,3.7464
2016-04-06,3.7469,3.76614,3.73292,3.74688
2016-04-07,3.74688,3.78734,3.72572,3.78047
2016-04-08,3.77955,3.78345,3.758,3.76744
2016-04-11,3.76638,3.76958,3.73143,3.74969
2016-04-12,3.74998,3.78406,3.73881,3.76733
2016-04-13,3.76711,3.80775,3.76305,3.80122
2016-04-14,3.80152,3.83527,3.79914,3.819
2016-04-15,3.81895,3.82355,3.79481,3.807
2016-04-18,3.80031,3.81221,3.79798,3.80635
2016-04-19,3.80645,3.8117,3.77343,3.78421
2016-04-20,3.78335,3.78791,3.76429,3.78235
2016-04-21,3.78166,3.8354,3.77903,3.82916
2016-04-22,3.82911,3.89715,3.82098,3.88727
2016-04-25,3.88794,3.92946,3.87935,3.9137
2016-04-26,3.91405,3.92127,3.85416,3.87175
2016-04-27,3.87167,3.90191,3.86107,3.872
2016-04-28,3.87205,3.88725,3.85551,3.87306
2016-04-29,3.87306,3.87658,3.81207,3.8206
2016-05-02,3.8183,3.82479,3.79868,3.79982
2016-05-03,3.7998,3.82622,3.76883,3.82063
2016-05-04,3.8207,3.84093,3.81085,3.8322
2016-05-05,3.83175,3.88647,3.82143,3.86331
2016-05-06,3.86324,3.89317,3.85676,3.88809
2016-05-09,3.88855,3.89533,3.86457,3.89431
2016-05-10,3.89431,3.89739,3.87211,3.88534
2016-05-11,3.88549,3.88939,3.86396,3.8735
2016-05-12,3.87287,3.8881,3.86436,3.88044
2016-05-13,3.88027,3.90883,3.86832,3.9001
2016-05-16,3.8805,3.88409,3.84352,3.86303
2016-05-17,3.86303,3.86594,3.84468,3.86324
2016-05-18,3.86335,3.92535,3.8629,3.91947
2016-05-19,3.91952,3.94125,3.91338,3.93948
2016-05-20,3.93948,3.94964,3.92879,3.93617
2016-05-23,3.93781,3.9738,3.92743,3.96105
2016-05-24,3.96115,3.98738,3.95925,3.97351
2016-05-25,3.9729,3.97621,3.94356,3.95037
2016-05-26,3.95037,3.95466,3.93085,3.93806
2016-05-27,3.93806,3.94826,3.9244,3.94766
2016-05-30,3.94845,3.95445,3.94293,3.94596
2016-05-31,3.94702,3.95512,3.92066,3.94105
2016-06-01,3.94105,3.94943,3.91765,3.9195
2016-06-02,3.9196,3.93475,3.91289,3.93191
2016-06-03,3.93191,3.9419,3.85912,3.86254
2016-06-06,3.85615,3.8769,3.82572,3.83579
2016-06-07,3.83579,3.8401,3.81515,3.83309
2016-06-08,3.83305,3.8359,3.78292,3.79181
2016-06-09,3.79136,3.83477,3.7852,3.8308
2016-06-10,3.83075,3.88844,3.82965,3.88788
2016-06-13,3.88427,3.91525,3.87731,3.90925
2016-06-14,3.90925,3.9658,3.90523,3.95358
2016-06-15,3.95353,3.96383,3.91408,3.93034
2016-06-16,3.93034,4.00035,3.91974,3.94205
2016-06-17,3.94205,3.95414,3.90794,3.91868
2016-06-20,3.90665,3.90665,3.86292,3.87926
2016-06-21,3.87926,3.92583,3.8608,3.91054
2016-06-22,3.91054,3.91523,3.85262,3.85737
2016-06-23,3.85731,3.87242,3.79045,3.80041
2016-06-24,3.80041,4.12774,3.79292,4.01345
2016-06-27,4.0277,4.07026,4.00475,4.04943
2016-06-28,4.04943,4.05845,3.98048,3.99644
2016-06-29,3.996,4.0097,3.97173,3.97403
2016-06-30,3.97375,3.99912,3.93701,3.93833
2016-07-01,3.93833,3.96932,3.93626,3.9627
2016-07-04,3.9613,3.99331,3.95066,3.97893
2016-07-05,3.97923,4.02416,3.97746,4.01205
2016-07-06,4.0116,4.03365,3.99188,4.00296
2016-07-07,4.00294,4.01413,3.98893,4.00201
2016-07-08,4.00203,4.0231,3.97578,3.99275
2016-07-11,3.99173,4.01507,3.98821,4.00178
2016-07-12,4.00255,4.00625,3.97063,3.97223
2016-07-13,3.97223,3.98985,3.96275,3.97115
2016-07-14,3.97132,3.976,3.95099,3.96714
2016-07-15,3.96719,3.99275,3.95485,3.98435
2016-07-18,4.00242,4.00242,3.94265,3.9456
2016-07-19,3.94599,3.98605,3.9449,3.97583
2016-07-20,3.97668,3.991,3.96235,3.96934
2016-07-21,3.96934,3.97135,3.94901,3.95375
2016-07-22,3.9541,3.98318,3.94555,3.97127
2016-07-25,3.97766,3.98375,3.96453,3.9664
2016-07-26,3.96688,3.9729,3.95688,3.96926
2016-07-27,3.96942,3.9897,3.9472,3.95285
2016-07-28,3.95285,3.9561,3.92601,3.9397
2016-07-29,3.93935,3.94078,3.88769,3.89642
2016-08-01,3.89796,3.9074,3.89546,3.9055
2016-08-02,3.90484,3.90742,3.85025,3.85375
2016-08-03,3.854,3.86145,3.83701,3.8388
2016-08-04,3.8392,3.8663,3.83895,3.8526
2016-08-05,3.8526,3.8734,3.83691,3.86015
2016-08-08,3.86165,3.8709,3.84788,3.85305
2016-08-09,3.8531,3.85624,3.8322,3.8342
2016-08-10,3.83385,3.83457,3.81184,3.81345
2016-08-11,3.81345,3.83045,3.8094,3.82595
2016-08-12,3.82592,3.82945,3.79955,3.82845
2016-08-15,3.82175,3.8289,3.806,3.8172
2016-08-16,3.81695,3.81879,3.76925,3.7903
2016-08-17,3.79035,3.8191,3.7847,3.8002
2016-08-18,3.80008,3.8008,3.77711,3.77965
2016-08-19,3.77965,3.81435,3.7773,3.80865
2016-08-22,3.8069,3.827,3.80067,3.80731
2016-08-23,3.80675,3.8142,3.7916,3.8113
2016-08-24,3.8113,3.8343,3.80925,3.82534
2016-08-25,3.82534,3.8445,3.8136,3.83945
2016-08-26,3.8395,3.8721,3.81615,3.8685
2016-08-29,3.8673,3.88885,3.85525,3.88254
2016-08-30,3.88257,3.91705,3.88025,3.91085
2016-08-31,3.91085,3.91825,3.89895,3.91011
2016-09-01,3.91011,3.92921,3.89034,3.89504
2016-09-02,3.89464,3.92515,3.88741,3.9135
2016-09-05,3.91759,3.9181,3.8884,3.895
2016-09-06,3.89505,3.89865,3.8482,3.85238
2016-09-07,3.85218,3.85741,3.83389,3.8435
2016-09-08,3.84365,3.84675,3.80745,3.84089
2016-09-09,3.84089,3.87897,3.8311,3.8649
2016-09-12,3.85612,3.88615,3.84935,3.87085
2016-09-13,3.87085,3.8851,3.8575,3.88155
2016-09-14,3.88155,3.88335,3.84631,3.8554
2016-09-15,3.8553,3.86625,3.83173,3.84934
2016-09-16,3.84934,3.86876,3.84257,3.86436
2016-09-19,3.864,3.86421,3.83616,3.84555
2016-09-20,3.84568,3.8586,3.83013,3.85736
