Date,Open,High,Low,Close,Volume
1997-06-30,10.7668,10.7668,10.7668,10.7668,2592844.9157348
1997-07-01,10.9391,10.9391,10.9391,10.9391,4839556.8140921
1997-07-02,11.3661,11.3661,11.3661,11.3661,4439604.8802971
1997-07-03,11.5045,11.5045,11.5045,11.5045,2441513.2567872
1997-07-04,11.7327,11.7327,11.7327,11.7327,936113.09155399
1997-07-07,11.9314,12.2178,11.9314,12.0456,1468411.1212171
1997-07-08,12.329,12.329,12.0735,12.2436,1538879.2503887
1997-07-09,12.0735,12.2731,12.0735,12.2178,710098.36444691
1997-07-10,11.9314,12.159,11.9314,11.9609,987806.20084414
1997-07-11,11.7923,11.8174,11.5634,11.6194,949543.03089474
1997-07-14,11.648,11.648,11.3064,11.4205,1779743.3854934
1997-07-15,11.3661,11.5045,11.3661,11.4801,2145061.6424025
1997-07-16,11.45,11.5634,11.45,11.5045,1112898.7439582
1997-07-17,11.648,11.877,11.648,11.877,1355524.6502094
1997-07-18,11.7923,11.8174,11.648,11.648,1325857.0761079
1997-07-21,11.5045,11.6194,11.4801,11.5347,169211.53065199
1997-07-22,11.5045,11.5347,11.4801,11.5347,1230745.8843774
1997-07-23,11.5347,11.5347,11.5045,11.5045,460630.48343494
1997-07-24,11.648,11.648,11.5045,11.5045,785480.97936087
1997-07-25,11.648,11.648,11.2225,11.3661,919462.5204567
1997-07-28,11.3661,11.5045,11.3661,11.3911,529397.96690464
1997-07-29,11.5045,11.6194,11.5045,11.5898,864482.2205926
1997-07-30,11.5347,11.6194,11.5347,11.6194,288206.47108569
1997-07-31,11.648,11.6774,11.5045,11.5634,708358.32679185
1997-08-01,11.5045,11.648,11.5045,11.5045,321298.42842557
1997-08-04,11.5347,11.5347,11.0789,11.0789,898030.58125185
1997-08-05,11.4205,11.5634,11.4205,11.5634,598507.75286387
1997-08-06,11.5045,11.5898,11.5045,11.5634,597555.55427199
1997-08-07,11.648,12.5013,11.648,12.5013,1530327.1215235
1997-08-08,12.8127,13.7792,12.8127,13.5518,1795007.0881709
1997-08-11,13.0659,13.0659,12.6993,12.7839,665747.10021964
1997-08-12,12.7839,13.2102,12.7839,12.926,971730.20892569
1997-08-13,12.2178,12.2178,12.2178,12.2178,474702.91911515
1997-08-14,12.1303,12.1303,11.9904,11.9904,485621.28185622
1997-08-18,11.9314,11.9314,11.648,11.877,290940.81597219
1997-08-19,11.9609,12.159,11.9609,12.159,253075.64058403
1997-08-20,12.1303,12.2731,12.1037,12.1037,143798.28749166
1997-08-21,12.2178,12.2178,12.1037,12.1303,420342.0237559
1997-08-22,12.2178,12.2178,12.2178,12.2178,234527.46401904
1997-08-25,12.2178,12.2178,12.159,12.159,103181.10875522
