Date,Open,High,Low,Close,Volume
1997-02-03,47.697,47.697,47.697,47.697,118449
1997-02-04,45.713,45.713,45.713,45.713,42985
1997-02-05,43.23,43.23,43.23,43.23,66588
1997-02-06,42.731,42.731,42.731,42.731,28562
1997-02-07,44.716,44.716,44.716,44.716,47073
1997-02-10,46.511,46.511,46.511,46.511,50142
1997-02-11,44.716,44.716,44.716,44.716,37893
1997-02-12,44.716,44.716,44.716,44.716,22507
1997-02-13,43.728,43.728,43.728,43.728,15551
1997-02-14,44.716,44.716,44.716,44.716,44210
1997-02-17,44.716,44.716,44.716,44.716,36998
1997-02-18,44.716,44.716,44.716,44.716,23692
1997-02-19,43.728,43.728,43.728,43.728,16237
1997-02-20,42.931,42.931,42.931,42.931,12789
1997-02-21,44.217,44.217,44.217,44.217,16383
1997-02-24,43.329,43.329,43.329,43.329,9266
1997-02-25,43.329,43.329,43.329,43.329,11424
1997-02-26,43.728,43.728,43.728,43.728,22447
1997-02-27,43.23,43.23,43.23,43.23,35392
1997-02-28,42.731,42.731,42.731,42.731,30598
1997-03-03,42.232,42.232,42.232,42.232,47485
1997-03-04,42.232,42.232,42.232,42.232,35741
1997-03-05,42.731,42.731,42.731,42.731,28982
1997-03-06,43.728,43.728,43.728,43.728,33459
1997-03-07,44.416,44.416,44.416,44.416,24065
1997-03-10,43.728,43.728,43.728,43.728,15152
1997-03-11,43.828,43.828,43.828,43.828,31615
1997-03-12,44.716,44.716,44.716,44.716,25291
1997-03-13,43.329,43.329,43.329,43.329,17101
1997-03-14,41.235,41.235,41.235,41.235,55480
1997-03-17,41.933,41.933,41.933,41.933,15022
1997-03-18,43.03,43.03,43.03,43.03,35104
1997-03-19,43.03,43.03,43.03,43.03,70859
1997-03-20,42.731,42.731,42.731,42.731,48946
1997-03-21,42.831,42.831,42.831,42.831,12094
1997-03-24,43.03,43.03,43.03,43.03,14258
1997-03-25,43.03,43.03,43.03,43.03,15769
1997-03-26,43.728,43.728,43.728,43.728,18102
1997-03-27,44.217,44.217,44.217,44.217,27667
1997-04-01,43.728,43.728,43.728,43.728,77107
1997-04-02,41.235,41.235,41.235,41.235,12705
