Date,Open,High,Low,Close,Volume
1994-01-25,42.3759,42.3759,42.3759,42.3759,517309.52237744
1994-01-27,42.3759,42.3759,42.3759,42.3759,712609.33043666
1994-01-31,38.1382,38.1382,38.1382,38.1382,0
1994-02-01,34.3398,34.3398,34.3398,34.3398,0
1994-02-03,30.9177,30.9177,30.9177,30.9177,285712.95443223
1994-02-07,28.2509,28.2509,28.2509,28.2509,916003.64350832
1994-02-08,31.0766,31.0766,31.0766,31.0766,335525.6608063
1994-02-10,31.0766,31.0766,31.0766,31.0766,902289.24954838
1994-02-14,29.5057,29.5057,29.5057,29.5057,791257.88903422
1994-02-15,28.8783,28.8783,28.8783,28.8783,761336.5530489
1994-02-17,28.8783,28.8783,28.8783,28.8783,1122970.0110737
1994-02-21,26.368,26.368,26.368,26.368,1110307.6278081
1994-02-22,29.0037,29.0037,29.0037,29.0037,294435.07946115
1994-02-24,31.8913,31.8913,31.8913,31.8913,757212.19294065
1994-02-28,33.9014,33.9014,33.9014,33.9014,786804.77558401
1994-03-01,33.8697,33.8697,33.8697,33.8697,263845.47759162
1994-03-03,33.5877,33.5877,33.5877,33.5877,391082.58466445
1994-03-07,31.8913,31.8913,31.8913,31.8913,600026.25414843
1994-03-08,31.3894,31.3894,31.3894,31.3894,584774.4900148
1994-03-10,31.3584,31.3584,31.3584,31.3584,598987.39358784
1994-03-14,30.1339,30.1339,30.1339,30.1339,588375.23570931
1994-03-15,29.8185,29.8185,29.8185,29.8185,511034.51767941
1994-03-17,30.7629,30.7629,30.7629,30.7629,692930.75312017
1994-03-21,29.8185,29.8185,29.8185,29.8185,439243.15606182
1994-03-22,26.869,26.869,26.869,26.869,404229.13194283
1994-03-24,28.5336,28.5336,28.5336,28.5336,562082.14115254
1994-03-28,26.7134,26.7134,26.7134,26.7134,389957.65050159
1994-03-29,24.0442,24.0442,24.0442,24.0442,335525.6608063
1994-03-31,22.0993,22.0993,22.0993,22.0993,653223.32674466
1994-04-05,23.8559,23.8559,23.8559,23.8559,481598.54117349
1994-04-07,24.7986,24.7986,24.7986,24.7986,474556.04685532
1994-04-08,23.2286,23.2286,23.2286,23.2286,251783.21860837
1994-04-11,20.9065,20.9065,20.9065,20.9065,310057.43827117
1994-04-12,18.8336,18.8336,18.8336,18.8336,0
1994-04-14,18.8336,18.8336,18.8336,18.8336,370212.12705001
1994-04-18,20.0892,20.0892,20.0892,20.0892,469576.92805796
1994-04-19,20.7174,20.7174,20.7174,20.7174,517678.92158714
1994-04-21,24.8606,24.8606,24.8606,24.8606,547827.39624508
1994-04-25,24.7986,24.7986,24.7986,24.7986,479692.96725681
1994-04-26,22.3185,22.3185,22.3185,22.3185,0
1994-04-28,20.0892,20.0892,20.0892,20.0892,280821.10470383
1994-05-05,21.6585,21.6585,21.6585,21.6585,523794.92921432
1994-05-06,19.4929,19.4929,19.4929,19.4929,476974.47598546
1994-05-09,19.7755,19.7755,19.7755,19.7755,419381.67234053
1994-05-10,19.4618,19.4618,19.4618,19.4618,341029.58948408
1994-05-12,19.8383,19.8383,19.8383,19.8383,548366.55172589
1994-05-16,20.7501,20.7501,20.7501,20.7501,414556.76874722
1994-05-17,20.7501,20.7501,20.7501,20.7501,465009.04980474
1994-05-19,20.6538,20.6538,20.6538,20.6538,343493.44634875
1994-05-23,20.7174,20.7174,20.7174,20.7174,420377.4961
1994-05-24,20.7174,20.7174,20.7174,20.7174,493079.80334149
1994-05-26,20.341,20.341,20.341,20.341,643419.30435401
1994-05-30,18.3318,18.3318,18.3318,18.3318,588346.54450855
1994-05-31,18.6772,18.6772,18.6772,18.6772,431233.52918493
1994-06-01,17.2644,17.2644,17.2644,17.2644,265509.5672353
1994-06-06,16.3233,16.3233,16.3233,16.3233,421941.16654104
1994-06-07,14.6905,14.6905,14.6905,14.6905,452046.60439786
1994-06-09,13.8105,13.8105,13.8105,13.8105,658232.33220946
1994-06-13,12.4311,12.4311,12.4311,12.4311,471298.40010314
1994-06-14,11.2056,11.2056,11.2056,11.2056,973725.55755665
1994-06-16,12.3049,12.3049,12.3049,12.3049,1077128.6450706
1994-06-20,11.332,11.332,11.332,11.332,739326.81567123
1994-06-21,10.4218,10.4218,10.4218,10.4218,453756.12177606
1994-06-23,10.1081,10.1081,10.1081,10.1081,807633.39186401
1994-06-27,11.1103,11.1103,11.1103,11.1103,312775.92954252
1994-06-28,11.6131,11.6131,11.6131,11.6131,344345.81410445
1994-06-30,11.3002,11.3002,11.3002,11.3002,405282.33810381
1994-07-04,11.332,11.332,11.332,11.332,175096.42086229
1994-07-05,11.9284,11.9284,11.9284,11.9284,243161.51278208
1994-07-06,11.9284,11.9284,11.9284,11.9284,139970.02287369
1994-07-07,12.5558,12.5558,12.5558,12.5558,423849.13139112
1994-07-11,13.4985,13.4985,13.4985,13.4985,538066.41065556
1994-07-12,14.8486,14.8486,14.8486,14.8486,314597.82079035
1994-07-13,16.3233,16.3233,16.3233,16.3233,710771.89812177
1994-07-14,15.0042,15.0042,15.0042,15.0042,336876.53817507
1994-07-18,14.7532,14.7532,14.7532,14.7532,327983.46140834
1994-07-19,15.6951,15.6951,15.6951,15.6951,396475.33493933
1994-07-20,14.125,14.125,14.125,14.125,465066.43220624
1994-07-21,13.4985,13.4985,13.4985,13.4985,339508.95584417
1994-07-25,12.524,12.524,12.524,12.524,449445.26886292
1994-07-26,12.493,12.493,12.493,12.493,201813.90609686
1994-07-27,12.5875,12.5875,12.5875,12.5875,137662.77214646
1994-07-28,12.7448,12.7448,12.7448,12.7448,176093.44008846
1994-08-01,12.7448,12.7448,12.7448,12.7448,148947.97777599
1994-08-02,12.5558,12.5558,12.5558,12.5558,165678.53421511
1994-08-03,12.5558,12.5558,12.5558,12.5558,231339.54260513
1994-08-04,13.1832,13.1832,13.1832,13.1832,414118.03246904
1994-08-08,13.373,13.373,13.373,13.373,268798.29612161
1994-08-09,13.373,13.373,13.373,13.373,228079.50491956
1994-08-10,12.8376,12.8376,12.8376,12.8376,243316.92345282
1994-08-11,13.1832,13.1832,13.1832,13.1832,343691.89382063
1994-08-16,12.8711,12.8711,12.8711,12.8711,204363.83656379
1994-08-17,13.1832,13.1832,13.1832,13.1832,317585.29206875
1994-08-18,13.8105,13.8105,13.8105,13.8105,462135.14786265
1994-08-22,14.7532,14.7532,14.7532,14.7532,565239.36870208
1994-08-23,15.0042,15.0042,15.0042,15.0042,362641.2364513
1994-08-24,15.0042,15.0042,15.0042,15.0042,439656.78753934
1994-08-25,14.6905,14.6905,14.6905,14.6905,341372.68842642
1994-08-29,14.0949,14.0949,14.0949,14.0949,233598.97466443
1994-08-30,14.3476,14.3476,14.3476,14.3476,138518.72630226
1994-08-31,14.3476,14.3476,14.3476,14.3476,206483.39901942
1994-09-01,12.9331,12.9331,12.9331,12.9331,284848.63200954
1994-09-05,13.1832,13.1832,13.1832,13.1832,214818.19283817
1994-09-06,12.6503,12.6503,12.6503,12.6503,258498.15505128
1994-09-07,11.6131,11.6131,11.6131,11.6131,348443.87394534
1994-09-08,12.7758,12.7758,12.7758,12.7758,182894.45013363
1994-09-12,12.7448,12.7448,12.7448,12.7448,209314.26416038
1994-09-13,12.1149,12.1149,12.1149,12.1149,172377.92959094
1994-09-14,12.1785,12.1785,12.1785,12.1785,124817.48247599
1994-09-15,12.2429,12.2429,12.2429,12.2429,137279.02733639
1994-09-19,12.5558,12.5558,12.5558,12.5558,211974.17756353
1994-09-20,11.9284,11.9284,11.9284,11.9284,146256.9822387
1994-09-21,11.3621,11.3621,11.3621,11.3621,189750.4516469
