Date,Open,High,Low,Close,Volume
1992-08-13,0.5924,0.5924,0.5924,0.5924,335667
1992-08-18,0.5924,0.5924,0.5924,0.5924,0
1992-08-20,0.5841,0.5841,0.5841,0.5841,346440
1992-08-25,0.5841,0.5841,0.5841,0.5841,0
1992-08-27,0.5841,0.5841,0.5841,0.5841,385465
1992-09-01,0.5183,0.5183,0.5183,0.5183,100210
1992-09-03,0.51,0.51,0.51,0.51,336391
1992-09-08,0.5018,0.5018,0.5018,0.5018,382815
1992-09-10,0.51,0.51,0.51,0.51,219680
1992-09-15,0.5511,0.5511,0.5511,0.5511,85135
1992-09-17,0.5511,0.5511,0.5511,0.5511,129926
1992-09-22,0.5595,0.5595,0.5595,0.5595,106836
1992-09-24,0.5511,0.5511,0.5511,0.5511,121220
1992-09-29,0.5595,0.5595,0.5595,0.5595,170246
1992-10-01,0.5924,0.5924,0.5924,0.5924,95201
1992-10-06,0.5924,0.5924,0.5924,0.5924,119848
1992-10-08,0.5924,0.5924,0.5924,0.5924,53394
1992-10-13,0.6087,0.6087,0.6087,0.6087,184629
1992-10-15,0.5924,0.5924,0.5924,0.5924,49895
1992-10-20,0.5924,0.5924,0.5924,0.5924,108300
1992-10-22,0.5924,0.5924,0.5924,0.5924,87378
1992-10-27,0.5924,0.5924,0.5924,0.5924,65449
1992-10-29,0.5924,0.5924,0.5924,0.5924,37312
1992-11-03,0.5924,0.5924,0.5924,0.5924,131921
1992-11-05,0.5759,0.5759,0.5759,0.5759,18951
1992-11-10,0.5183,0.5183,0.5183,0.5183,17680
1992-11-12,0.5183,0.5183,0.5183,0.5183,22342
1992-11-17,0.5511,0.5511,0.5511,0.5511,67548
1992-11-19,0.5511,0.5511,0.5511,0.5511,36083
1992-11-24,0.5183,0.5183,0.5183,0.5183,51348
1992-11-26,0.5183,0.5183,0.5183,0.5183,23001
1992-12-01,0.5511,0.5511,0.5511,0.5511,60020
1992-12-03,0.5511,0.5511,0.5511,0.5511,72718
1992-12-08,0.51,0.51,0.51,0.51,74082
1992-12-10,0.5511,0.5511,0.5511,0.5511,30829
1992-12-15,0.5429,0.5429,0.5429,0.5429,38911
1992-12-17,0.5511,0.5511,0.5511,0.5511,49868
1992-12-22,0.5759,0.5759,0.5759,0.5759,147054
1992-12-29,0.6251,0.6251,0.6251,0.6251,208402
1993-01-04,0.5759,0.5759,0.5759,0.5759,22902
1993-01-05,0.5841,0.5841,0.5841,0.5841,41104
1993-01-07,0.6087,0.6087,0.6087,0.6087,13681
1993-01-11,0.5924,0.5924,0.5924,0.5924,17423
1993-01-12,0.5924,0.5924,0.5924,0.5924,19807
1993-01-14,0.5595,0.5595,0.5595,0.5595,21494
1993-01-18,0.5841,0.5841,0.5841,0.5841,21156
1993-01-19,0.5595,0.5595,0.5595,0.5595,14448
1993-01-21,0.5595,0.5595,0.5595,0.5595,38972
1993-01-25,0.5759,0.5759,0.5759,0.5759,42378
1993-01-26,0.5595,0.5595,0.5595,0.5595,9988
1993-01-28,0.5511,0.5511,0.5511,0.5511,14510
1993-02-01,0.5595,0.5595,0.5595,0.5595,18371
1993-02-02,0.5595,0.5595,0.5595,0.5595,21846
1993-02-04,0.5511,0.5511,0.5511,0.5511,27563
1993-02-08,0.5759,0.5759,0.5759,0.5759,10526
1993-02-09,0.5511,0.5511,0.5511,0.5511,4987
1993-02-11,0.5429,0.5429,0.5429,0.5429,26738
1993-02-15,0.5429,0.5429,0.5429,0.5429,14289
1993-02-16,0.5429,0.5429,0.5429,0.5429,14105
1993-02-18,0.5429,0.5429,0.5429,0.5429,32178
1993-02-22,0.5348,0.5348,0.5348,0.5348,15569
1993-02-23,0.5348,0.5348,0.5348,0.5348,15569
1993-02-25,0.5429,0.5429,0.5429,0.5429,8388
1993-03-01,0.5511,0.5511,0.5511,0.5511,51501
1993-03-02,0.5511,0.5511,0.5511,0.5511,44337
1993-03-04,0.5595,0.5595,0.5595,0.5595,18549
1993-03-08,0.5841,0.5841,0.5841,0.5841,53106
1993-03-09,0.5841,0.5841,0.5841,0.5841,26683
1993-03-11,0.5924,0.5924,0.5924,0.5924,108464
1993-03-15,0.6251,0.6251,0.6251,0.6251,157441
1993-03-16,0.6828,0.6828,0.6828,0.6828,187388
1993-03-18,0.6992,0.6992,0.6992,0.6992,107082
1993-03-22,0.6581,0.6581,0.6581,0.6581,92404
1993-03-23,0.6498,0.6498,0.6498,0.6498,72276
1993-03-25,0.6581,0.6581,0.6581,0.6581,175136
1993-03-29,0.6581,0.6581,0.6581,0.6581,16472
1993-03-30,0.6581,0.6581,0.6581,0.6581,47525
1993-04-01,0.6663,0.6663,0.6663,0.6663,26154
1993-04-05,0.6581,0.6581,0.6581,0.6581,36415
1993-04-06,0.6498,0.6498,0.6498,0.6498,49345
1993-04-08,0.6581,0.6581,0.6581,0.6581,265654
1993-04-13,0.6828,0.6828,0.6828,0.6828,296482
1993-04-15,0.6828,0.6828,0.6828,0.6828,233112
1993-04-19,0.6828,0.6828,0.6828,0.6828,242006
1993-04-20,0.7403,0.7403,0.7403,0.7403,351519
1993-04-22,0.8144,0.8144,0.8144,0.8144,836670
1993-04-26,0.8884,0.8884,0.8884,0.8884,1193843
1993-04-27,0.8063,0.8063,0.8063,0.8063,306808
1993-04-29,0.7322,0.7322,0.7322,0.7322,600381
1993-05-04,0.7979,0.7979,0.7979,0.7979,234232
1993-05-06,0.765,0.765,0.765,0.765,480167
1993-05-10,0.8391,0.8391,0.8391,0.8391,0
1993-05-11,0.9213,0.9213,0.9213,0.9213,632461
1993-05-13,1.0118,1.0118,1.0118,1.0118,1105176
1993-05-17,0.9296,0.9296,0.9296,0.9296,876496
1993-05-18,0.9543,0.9543,0.9543,0.9543,724680
1993-05-20,1.0447,1.0447,1.0447,1.0447,1465617
1993-05-24,0.9789,0.9789,0.9789,0.9789,908539
1993-05-25,1.0694,1.0694,1.0694,1.0694,971144
1993-05-27,1.1681,1.1681,1.1681,1.1681,1322750
1993-05-31,1.0694,1.0694,1.0694,1.0694,1152025
1993-06-01,0.9872,0.9872,0.9872,0.9872,727948
1993-06-03,0.9213,0.9213,0.9213,0.9213,861976
1993-06-07,0.8309,0.8309,0.8309,0.8309,773697
1993-06-08,0.7486,0.7486,0.7486,0.7486,533191
1993-06-09,0.8309,0.8309,0.8309,0.8309,305491
1993-06-14,0.9131,0.9131,0.9131,0.9131,402399
1993-06-15,0.9954,0.9954,0.9954,0.9954,567778
1993-06-17,0.9954,0.9954,0.9954,0.9954,965208
1993-06-21,0.9049,0.9049,0.9049,0.9049,0
1993-06-22,0.8473,0.8473,0.8473,0.8473,400732
1993-06-24,0.9296,0.9296,0.9296,0.9296,534851
1993-06-28,0.8391,0.8391,0.8391,0.8391,427072
1993-06-29,0.8802,0.8802,0.8802,0.8802,573475
1993-07-01,0.9543,0.9543,0.9543,0.9543,1208846
1993-07-05,1.0118,1.0118,1.0118,1.0118,1040633
1993-07-06,0.9872,0.9872,0.9872,0.9872,658654
1993-07-08,0.9543,0.9543,0.9543,0.9543,826209
1993-07-12,1.0118,1.0118,1.0118,1.0118,467496
1993-07-13,1.0447,1.0447,1.0447,1.0447,535557
1993-07-15,1.0364,1.0364,1.0364,1.0364,534715
1993-07-19,1.1434,1.1434,1.1434,1.1434,1621883
1993-07-20,1.201,1.201,1.201,1.201,1047212
1993-07-22,1.1846,1.1846,1.1846,1.1846,579132
1993-07-26,1.201,1.201,1.201,1.201,512997
1993-07-27,1.1681,1.1681,1.1681,1.1681,192371
1993-07-29,1.1434,1.1434,1.1434,1.1434,336499
1993-08-02,1.2422,1.2422,1.2422,1.2422,1057666
1993-08-03,1.3244,1.3244,1.3244,1.3244,1014456
1993-08-05,1.456,1.456,1.456,1.456,3271885
1993-08-09,1.5876,1.5876,1.5876,1.5876,2563492
1993-08-10,1.7522,1.7522,1.7522,1.7522,543549
1993-08-12,1.9085,1.9085,1.9085,1.9085,3793788
1993-08-16,2.0977,2.0977,2.0977,2.0977,1739289
1993-08-17,2.3034,2.3034,2.3034,2.3034,1768387
1993-08-19,2.5173,2.5173,2.5173,2.5173,1209641
1993-08-23,2.7557,2.7557,2.7557,2.7557,0
1993-08-24,3.0354,3.0354,3.0354,3.0354,0
1993-08-26,3.3316,3.3316,3.3316,3.3316,1719854
1993-08-30,3.6524,3.6524,3.6524,3.6524,3952025
1993-08-31,3.3069,3.3069,3.3069,3.3069,1742086
1993-09-02,3.636,3.636,3.636,3.636,1878223
1993-09-06,3.9897,3.9897,3.9897,3.9897,1592583
1993-09-07,4.327,4.327,4.327,4.327,2379401
1993-09-09,3.8992,3.8992,3.8992,3.8992,2312999
1993-09-13,3.5126,3.5126,3.5126,3.5126,1905404
1993-09-14,3.5126,3.5126,3.5126,3.5126,1015196
1993-09-16,3.5126,3.5126,3.5126,3.5126,1300871
1993-09-20,3.2246,3.2246,3.2246,3.2246,1301637
1993-09-21,2.9038,2.9038,2.9038,2.9038,413514
1993-09-23,2.6324,2.6324,2.6324,2.6324,0
1993-09-27,2.3691,2.3691,2.3691,2.3691,0
1993-09-28,2.1471,2.1471,2.1471,2.1471,1885074
1993-09-30,2.3526,2.3526,2.3526,2.3526,0
1993-10-04,2.5749,2.5749,2.5749,2.5749,1514571
1993-10-05,2.8298,2.8298,2.8298,2.8298,1515285
1993-10-07,3.1013,3.1013,3.1013,3.1013,2137747
1993-10-11,2.945,2.945,2.945,2.945,1250142
1993-10-12,3.233,3.233,3.233,3.233,1105632
1993-10-14,3.455,3.455,3.455,3.455,1903663
1993-10-18,3.3069,3.3069,3.3069,3.3069,1022898
1993-10-19,3.4056,3.4056,3.4056,3.4056,1033920
1993-10-21,3.126,3.126,3.126,3.126,1132174
1993-10-26,3.3069,3.3069,3.3069,3.3069,2006464
1993-10-28,3.2905,3.2905,3.2905,3.2905,622854
1993-11-02,3.2905,3.2905,3.2905,3.2905,710199
1993-11-04,3.2905,3.2905,3.2905,3.2905,1162291
1993-11-08,3.3069,3.3069,3.3069,3.3069,2010510
1993-11-09,3.3069,3.3069,3.3069,3.3069,1646901
1993-11-10,3.4056,3.4056,3.4056,3.4056,848078
1993-11-15,3.6771,3.6771,3.6771,3.6771,2588353
1993-11-16,3.8581,3.8581,3.8581,3.8581,1928115
1993-11-18,3.4714,3.4714,3.4714,3.4714,625503
1993-11-22,3.1506,3.1506,3.1506,3.1506,2435782
1993-11-23,3.2246,3.2246,3.2246,3.2246,781444
1993-11-25,3.3069,3.3069,3.3069,3.3069,1520936
1993-11-29,3.0354,3.0354,3.0354,3.0354,643228
1993-11-30,3.1013,3.1013,3.1013,3.1013,805629
1993-12-02,3.1013,3.1013,3.1013,3.1013,836609
1993-12-06,3.1013,3.1013,3.1013,3.1013,851255
1993-12-07,3.0849,3.0849,3.0849,3.0849,801549
1993-12-09,3.0354,3.0354,3.0354,3.0354,865959
1993-12-13,3.126,3.126,3.126,3.126,1095405
1993-12-14,3.0354,3.0354,3.0354,3.0354,389045
1993-12-16,2.8545,2.8545,2.8545,2.8545,694570
1993-12-20,2.945,2.945,2.945,2.945,1328359
1993-12-21,3.126,3.126,3.126,3.126,803910
1993-12-23,3.126,3.126,3.126,3.126,1304879
1993-12-27,3.2246,3.2246,3.2246,3.2246,1125145
1993-12-28,2.9038,2.9038,2.9038,2.9038,470701
1993-12-30,2.7557,2.7557,2.7557,2.7557,1015675
1994-01-03,3.0354,3.0354,3.0354,3.0354,1222990
1994-01-04,3.2,3.2,3.2,3.2,1931362
1994-01-06,3.3481,3.3481,3.3481,3.3481,2687553
1994-01-10,3.2,3.2,3.2,3.2,1391813
1994-01-11,2.9778,2.9778,2.9778,2.9778,951961
1994-01-13,3.126,3.126,3.126,3.126,2093943
1994-01-17,3.3069,3.3069,3.3069,3.3069,3369030
1994-01-18,3.4056,3.4056,3.4056,3.4056,1885758
1994-01-20,3.7264,3.7264,3.7264,3.7264,3432237
1994-01-24,4.0966,4.0966,4.0966,4.0966,0
1994-01-25,4.5079,4.5079,4.5079,4.5079,0
1994-01-27,4.944,4.944,4.944,4.944,1192151
1994-01-31,5.4293,5.4293,5.4293,5.4293,5731276
1994-02-01,4.8864,4.8864,4.8864,4.8864,0
1994-02-03,4.4092,4.4092,4.4092,4.4092,1358801
1994-02-07,4.8535,4.8535,4.8535,4.8535,1885443
1994-02-08,4.9604,4.9604,4.9604,4.9604,1369976
1994-02-10,5.4622,5.4622,5.4622,5.4622,4265860
1994-02-14,5.9887,5.9887,5.9887,5.9887,1938977
1994-02-15,6.581,6.581,6.581,6.581,2293508
1994-02-17,5.9311,5.9311,5.9311,5.9311,3419126
1994-02-21,5.3552,5.3552,5.3552,5.3552,2575335
1994-02-22,4.944,4.944,4.944,4.944,1411450
1994-02-24,5.4293,5.4293,5.4293,5.4293,2949110
1994-02-28,5.3059,5.3059,5.3059,5.3059,789901
1994-03-01,5.1084,5.1084,5.1084,5.1084,615177
1994-03-03,4.8781,4.8781,4.8781,4.8781,1117400
1994-03-07,4.5985,4.5985,4.5985,4.5985,1124895
1994-03-08,4.5985,4.5985,4.5985,4.5985,806075
1994-03-10,5.0344,5.0344,5.0344,5.0344,1829665
1994-03-14,4.7548,4.7548,4.7548,4.7548,738108
1994-03-15,4.7548,4.7548,4.7548,4.7548,632211
1994-03-17,4.7548,4.7548,4.7548,4.7548,1126745
1994-03-21,4.3024,4.3024,4.3024,4.3024,678381
1994-03-22,3.8992,3.8992,3.8992,3.8992,544033
1994-03-24,4.2776,4.2776,4.2776,4.2776,0
1994-03-28,4.6889,4.6889,4.6889,4.6889,1690890
1994-03-29,4.2284,4.2284,4.2284,4.2284,0
1994-03-31,3.8088,3.8088,3.8088,3.8088,388556
1994-04-05,3.4385,3.4385,3.4385,3.4385,1133670
1994-04-07,3.4385,3.4385,3.4385,3.4385,791121
1994-04-08,3.4385,3.4385,3.4385,3.4385,747905
1994-04-11,3.1013,3.1013,3.1013,3.1013,0
1994-04-12,2.8134,2.8134,2.8134,2.8134,0
1994-04-14,2.2047,2.2047,2.2047,2.2047,477071
1994-04-18,2.0237,2.0237,2.0237,2.0237,1930823
1994-04-19,2.2786,2.2786,2.2786,2.2786,1868045
1994-04-21,2.7229,2.7229,2.7229,2.7229,2232959
1994-04-25,3.126,3.126,3.126,3.126,4047676
1994-04-26,2.8134,2.8134,2.8134,2.8134,0
1994-04-28,2.5337,2.5337,2.5337,2.5337,0
1994-05-05,2.3855,2.3855,2.3855,2.3855,896984
1994-05-06,2.6324,2.6324,2.6324,2.6324,1593862
1994-05-09,2.3691,2.3691,2.3691,2.3691,1336377
1994-05-10,2.4267,2.4267,2.4267,2.4267,432049
1994-05-12,2.4267,2.4267,2.4267,2.4267,661978
1994-05-16,2.6653,2.6653,2.6653,2.6653,1778807
1994-05-17,2.5749,2.5749,2.5749,2.5749,838020
1994-05-19,2.6488,2.6488,2.6488,2.6488,1192280
1994-05-23,2.7229,2.7229,2.7229,2.7229,874597
1994-05-24,2.7557,2.7557,2.7557,2.7557,1850421
1994-05-26,2.5995,2.5995,2.5995,2.5995,1109869
1994-05-30,2.6653,2.6653,2.6653,2.6653,1608342
1994-05-31,2.5749,2.5749,2.5749,2.5749,1191666
1994-06-01,2.3199,2.3199,2.3199,2.3199,1377891
1994-06-06,2.3281,2.3281,2.3281,2.3281,934085
1994-06-07,2.1141,2.1141,2.1141,2.1141,981245
1994-06-09,2.0401,2.0401,2.0401,2.0401,1245676
1994-06-13,1.8344,1.8344,1.8344,1.8344,0
1994-06-14,1.6535,1.6535,1.6535,1.6535,478573
1994-06-16,1.8179,1.8179,1.8179,1.8179,2444425
1994-06-20,1.6288,1.6288,1.6288,1.6288,1347850
1994-06-21,1.489,1.489,1.489,1.489,1094425
1994-06-23,1.3491,1.3491,1.3491,1.3491,1850442
1994-06-27,1.4725,1.4725,1.4725,1.4725,1944652
1994-06-28,1.5302,1.5302,1.5302,1.5302,989927
1994-06-30,1.456,1.456,1.456,1.456,960171
1994-07-04,1.5794,1.5794,1.5794,1.5794,1365678
1994-07-05,1.711,1.711,1.711,1.711,785532
1994-07-06,1.8016,1.8016,1.8016,1.8016,625382
1994-07-07,1.8344,1.8344,1.8344,1.8344,1239842
1994-07-11,1.9332,1.9332,1.9332,1.9332,1201427
1994-07-12,2.1141,2.1141,2.1141,2.1141,1366543
1994-07-13,2.3199,2.3199,2.3199,2.3199,1376292
1994-07-14,2.1718,2.1718,2.1718,2.1718,968771
1994-07-18,2.3691,2.3691,2.3691,2.3691,1180260
