Date,Open,High,Low,Close,Volume
1998-06-30,20.4406,20.4406,20.4406,20.4406,1507671.6694486
1998-07-01,21.7407,21.7407,21.7407,21.7407,1752722.6859866
1998-07-02,22.673,22.673,22.673,22.673,1599627.0315027
1998-07-03,21.7407,21.7407,21.7407,21.7407,2286882.118233
1998-07-06,21.7407,21.7407,21.7407,21.7407,1061953.6000887
1998-07-07,21.1846,21.7407,21.1846,21.3728,775301.27907386
1998-07-08,21.1846,21.1846,20.4406,20.4406,2049377.7613678
1998-07-09,20.4406,20.4406,20.4406,20.4406,707513.0655322
1998-07-10,20.4406,21.0004,20.4406,20.813,259967.33241148
1998-07-13,21.1846,22.1133,21.1846,21.9289,137870.61162387
1998-07-14,22.3012,22.8566,22.3012,22.3012,435283.09721226
1998-07-15,22.673,22.8566,21.9289,22.673,857601.0331065
1998-07-16,22.673,22.673,22.3012,22.4843,557747.54614392
1998-07-17,23.0454,23.2297,22.8566,23.0454,623697.11896528
1998-07-20,23.0454,24.1575,23.0454,24.1575,338754.45939638
1998-07-21,24.1575,24.1575,23.4186,23.6007,317795.32730487
1998-07-22,23.7858,23.7858,23.0454,23.4186,403102.76824714
1998-07-23,23.6007,24.1575,23.6007,23.9732,277118.83166803
1998-07-24,23.7858,24.1575,23.7858,23.9732,192142.07163143
1998-07-27,23.6007,23.6007,23.2297,23.6007,144596.74357232
1998-07-28,23.4186,23.4186,22.8566,23.0454,222586.66887178
1998-07-29,23.0454,23.6007,23.0454,23.6007,357210.84471637
1998-07-30,23.7858,23.7858,23.6007,23.7858,162531.72331491
1998-07-31,23.2297,23.4186,23.0454,23.4186,239020.54939944
1998-08-03,22.673,23.4186,22.673,23.0454,213870.96300957
1998-08-04,23.2297,23.2297,23.0454,23.0454,259028.80237216
1998-08-05,22.3012,22.673,22.3012,22.4843,358025.88396104
1998-08-06,22.673,23.0454,22.4843,22.4843,175303.41572131
1998-08-07,22.673,23.0454,22.673,23.0454,123013.29690788
1998-08-10,23.0454,23.0454,22.673,22.8566,119364.82998602
1998-08-11,22.4843,22.4843,21.5572,21.5572,323788.74720508
1998-08-12,22.3012,22.8566,22.1133,22.673,361129.61926651
1998-08-13,21.9289,21.9289,21.3728,21.7407,134517.15048923
1998-08-14,21.9289,22.3012,21.9289,22.3012,132452.10997874
1998-08-17,21.9289,22.4843,21.9289,22.3012,181911.54535488
1998-08-18,22.4843,23.0454,22.4843,22.673,114349.73160341
1998-08-19,22.4843,22.8566,22.4843,22.8566,217441.21909481
1998-08-20,22.4843,22.4843,21.9289,22.1133,432400.27321721
1998-08-21,22.1133,22.3012,21.5572,22.1133,459812.48538901
1998-08-24,21.9289,22.4843,21.9289,22.4843,185070.16545796
1998-08-25,22.3012,22.3012,21.9289,21.9289,86738.562040238
1998-08-26,21.9289,22.1133,21.9289,21.9289,455770.22004422
1998-08-27,21.5572,21.7407,21.1846,21.5572,980713.12265009
1998-08-28,19.5114,20.069,19.1405,20.069,61075.802792614
1998-08-31,18.9553,19.3285,18.7674,18.9553,246471.16067648
1998-09-01,17.0604,17.2441,16.0546,17.0962,328611.74879602
1998-09-02,18.3955,19.1405,18.2119,19.1405,313643.29236484
1998-09-03,18.9553,18.9553,18.2119,18.2119,501936.5675631
1998-09-04,18.5843,19.1405,18.5843,19.1405,307857.06257565
1998-09-07,19.1405,20.069,19.1405,19.7002,149303.11496832
1998-09-08,19.1405,19.8845,19.1405,19.8845,482964.26514547
1998-09-09,19.7002,19.7002,19.3285,19.5114,327564.8212814
1998-09-10,18.9553,19.3285,18.9553,18.9553,206949.99002956
1998-09-11,18.3955,18.5843,18.2878,18.3955,102721.01510746
1998-09-14,18.5843,18.9553,18.5843,18.5843,263532.10001696
1998-09-15,18.36,18.4364,18.36,18.3955,412510.02255938
1998-09-16,18.36,18.548,18.36,18.3955,226383.32474721
1998-09-17,18.0283,18.1762,17.7287,17.7287,129270.16383667
1998-09-18,17.7287,18.1361,17.7287,18.1361,63404.290331683
1998-09-21,17.4686,17.4686,17.0962,17.4322,36429.784420918
1998-09-22,17.5801,17.8403,17.5801,17.6558,101904.60374285
1998-09-23,17.8403,18.5843,17.8403,18.2119,81193.825360579
1998-09-24,18.9553,18.9553,18.5843,18.5843,95585.991416738
1998-09-25,18.3955,18.3955,18.2119,18.2119,52522.007083386
1998-09-28,18.3955,18.3955,18.0283,18.0283,100841.21078895
1998-09-29,18.2119,18.2119,18.0283,18.2119,118305.55339194
1998-09-30,17.4686,17.4686,17.0962,17.1356,28368.579770338
1998-10-01,15.7238,15.7238,15.1634,15.2392,80164.735405186
1998-10-02,14.1598,14.3471,14.0876,14.2714,228521.08761454
1998-10-05,13.8268,14.1598,13.3793,13.5273,261147.35556033
1998-10-06,13.4187,13.4187,12.7475,13.2313,159388.19653117
1998-10-07,13.5666,13.5666,12.227,12.7868,115035.79157367
1998-10-08,12.227,12.227,11.3743,11.5223,122778.66439805
1998-10-09,11.5223,11.7832,11.5223,11.7832,126956.76961694
1998-10-12,12.6396,13.0069,12.6396,13.0069,185190.91201273
1998-10-13,13.3793,13.5666,12.9354,13.0069,170654.67336282
1998-10-14,12.6396,13.1191,12.6396,13.0069,60322.508945266
1998-10-15,13.2664,13.2664,12.4873,12.6396,42959.703217872
1998-10-16,13.7502,14.3829,13.7153,14.3107,207802.07651263
1998-10-19,14.4951,14.4951,14.1598,14.1984,144658.48896965
1998-10-20,14.3107,14.8319,14.1235,14.8319,175384.3707978
1998-10-21,14.1235,14.8319,14.1235,14.2714,252983.24191421
1998-10-22,13.939,14.3829,13.939,14.1984,124934.26482461
1998-10-23,14.3107,14.6787,14.3107,14.4951,260461.29559007
1998-10-26,14.8667,14.8667,14.4601,14.7195,92113.155847271
1998-10-27,14.4951,14.4951,13.8632,13.8632,53504.444960801
1998-10-28,13.6038,13.6038,13.2664,13.3071,80776.70089866
1998-10-29,13.3793,13.7502,13.3793,13.5666,156741.3771659
1998-10-30,14.6787,14.6787,14.2714,14.3471,254644.87916218
1998-11-02,16.1312,16.7238,16.0919,16.6881,275602.63913375
1998-11-03,16.352,16.352,15.3507,15.4228,113912.02534238
1998-11-04,15.6473,16.5394,15.6473,16.352,282065.32405362
1998-11-05,15.7952,15.8311,15.6116,15.7589,221642.6503527
1998-11-06,15.9075,15.9075,15.6116,15.8718,201118.48028234
